package,uploaded,version,compatibility46,compatibility1
quri-parts-qiskit,2024-01-30T02:47:57.673923Z,"<1,>=0.41.1",true,false
test-jaqalpaq-extras,2021-08-18T17:06:22.741481Z,"<0.28.0,>=0.27.0",false,false
saoovqe,2023-09-20T20:34:57.409458Z,>=0.43.0,true,true
vqls-prototype,2023-11-03T09:08:55.044123Z,>=0.14.1,true,true
c2qa-qiskit,2022-07-20T16:03:22.596993Z,==0.34.2,false,false
oqi,2021-02-11T20:21:49.165277Z,<0.23.5,false,false
qiskit-classroom-converter,2024-03-06T03:41:50.087339Z,==1.0.1,false,true
quantumseeding,2023-11-27T16:54:25.729745Z,,true,true
c12simulator-clients,2023-10-26T13:38:23.801607Z,~=0.41,true,false
qiskit-han,2023-07-11T10:06:00.787221Z,,true,true
quantum-gates,2024-02-08T20:50:16.092444Z,>=0.42.1,true,true
qmatchatea,2024-01-16T18:26:19.037888Z,==0.38.0,false,false
parityos,2024-02-22T16:13:37.180798Z,<1,true,false
simuq,2024-03-05T03:44:56.747572Z,,true,true
mqt.qcec,2024-02-21T11:13:05.725985Z,>=1.0.0,false,true
mqt.qcec,2024-02-21T11:13:05.725985Z,,true,true
qasm2image,2018-06-15T12:02:11Z,>=0.5,true,true
quantumaudio,2023-01-07T16:27:43.275611Z,,true,true
aqmlator,2023-12-05T01:02:37.879162Z,,true,true
